① Circled Digit One
② Circled Digit Two
③ Circled Digit Three
④ Circled Digit Four
⑤ Circled Digit Five
⑥ Circled Digit Six
⑦ Circled Digit Seven
⑧ Circled Digit Eight
⑨ Circled Digit Nine
⑩ Circled Number Ten
⑪ Circled Number Eleven
⑫ Circled Number Twelve
⑬ Circled Number Thirteen
⑭ Circled Number Fourteen
⑮ Circled Number Fifteen
⑯ Circled Number Sixteen
⑰ Circled Number Seventeen
⑱ Circled Number Eighteen
⑲ Circled Number Nineteen
⑳ Circled Number Twenty
⑴ Parenthesized Digit One
⑵ Parenthesized Digit Two
⑶ Parenthesized Digit Three
⑷ Parenthesized Digit Four
⑸ Parenthesized Digit Five
⑹ Parenthesized Digit Six
⑺ Parenthesized Digit Seven
⑻ Parenthesized Digit Eight
⑼ Parenthesized Digit Nine
⑽ Parenthesized Number Ten
⑾ Parenthesized Number Eleven
⑿ Parenthesized Number Twelve
⒀ Parenthesized Number Thirteen
⒁ Parenthesized Number Fourteen
⒂ Parenthesized Number Fifteen
⒃ Parenthesized Number Sixteen
⒄ Parenthesized Number Seventeen
⒅ Parenthesized Number Eighteen
⒆ Parenthesized Number Nineteen
⒇ Parenthesized Number Twenty
⒈ Digit One Full Stop
⒉ Digit Two Full Stop
⒊ Digit Three Full Stop
⒋ Digit Four Full Stop
⒌ Digit Five Full Stop
⒍ Digit Six Full Stop
⒎ Digit Seven Full Stop
⒏ Digit Eight Full Stop
⒐ Digit Nine Full Stop
⒑ Number Ten Full Stop
⒒ Number Eleven Full Stop
⒓ Number Twelve Full Stop
⒔ Number Thirteen Full Stop
⒕ Number Fourteen Full Stop
⒖ Number Fifteen Full Stop
⒗ Number Sixteen Full Stop
⒘ Number Seventeen Full Stop
⒙ Number Eighteen Full Stop
⒚ Number Nineteen Full Stop
⒛ Number Twenty Full Stop
Ⓤ Circled Latin Capital Letter U
Ⓥ Circled Latin Capital Letter V
Ⓦ Circled Latin Capital Letter W
Ⓧ Circled Latin Capital Letter X
Ⓨ Circled Latin Capital Letter Y
Ⓩ Circled Latin Capital Letter Z
ⓐ Circled Latin Small Letter A
ⓑ Circled Latin Small Letter B
ⓒ Circled Latin Small Letter C
ⓓ Circled Latin Small Letter D
ⓔ Circled Latin Small Letter E
ⓕ Circled Latin Small Letter F
ⓖ Circled Latin Small Letter G
ⓗ Circled Latin Small Letter H
ⓘ Circled Latin Small Letter I
ⓙ Circled Latin Small Letter J
ⓚ Circled Latin Small Letter K
ⓛ Circled Latin Small Letter L
ⓜ Circled Latin Small Letter M
ⓝ Circled Latin Small Letter N
ⓞ Circled Latin Small Letter O
ⓟ Circled Latin Small Letter P
ⓠ Circled Latin Small Letter Q
ⓡ Circled Latin Small Letter R
ⓢ Circled Latin Small Letter S
ⓣ Circled Latin Small Letter T
ⓤ Circled Latin Small Letter U
ⓥ Circled Latin Small Letter V
ⓦ Circled Latin Small Letter W
ⓧ Circled Latin Small Letter X
ⓨ Circled Latin Small Letter Y
ⓩ Circled Latin Small Letter Z
⓪ Circled Digit Zero
⓫ Negative Circled Number Eleven
⓬ Negative Circled Number Twelve
⓭ Negative Circled Number Thirteen
⓮ Negative Circled Number Fourteen
⓯ Negative Circled Number Fifteen
⓰ Negative Circled Number Sixteen
⓱ Negative Circled Number Seventeen
⓲ Negative Circled Number Eighteen
⓳ Negative Circled Number Nineteen
⓴ Negative Circled Number Twenty
⓵ Double Circled Digit One
⓶ Double Circled Digit Two
⓷ Double Circled Digit Three
⓸ Double Circled Digit Four
⓹ Double Circled Digit Five
⓺ Double Circled Digit Six
⓻ Double Circled Digit Seven
⓼ Double Circled Digit Eight
⓽ Double Circled Digit Nine
⓾ Double Circled Number Ten
⓿ Negative Circled Digit Zero
🄀 Digit Zero Full Stop
🄁 Digit Zero Comma
🄂 Digit One Comma
🄃 Digit Two Comma
🄄 Digit Three Comma
🄅 Digit Four Comma
🄆 Digit Five Comma
🄇 Digit Six Comma
🄈 Digit Seven Comma
🄉 Digit Eight Comma
🄊 Digit Nine Comma
🄋 Dingbat Circled Sans-Serif Digit Zero
🄌 Dingbat Negative Circled Sans-Serif Digit Zero
🄍 Circled Zero With Slash
🄎 Circled Anticlockwise Arrow
🄏 Circled Dollar Sign With Overlaid Backslash
🄐 Parenthesized Latin Capital Letter A
🄑 Parenthesized Latin Capital Letter B
🄒 Parenthesized Latin Capital Letter C
🄓 Parenthesized Latin Capital Letter D
🄔 Parenthesized Latin Capital Letter E
🄕 Parenthesized Latin Capital Letter F
🄖 Parenthesized Latin Capital Letter G
🄗 Parenthesized Latin Capital Letter H
🄘 Parenthesized Latin Capital Letter I
🄙 Parenthesized Latin Capital Letter J
🄚 Parenthesized Latin Capital Letter K
🄛 Parenthesized Latin Capital Letter L
🄜 Parenthesized Latin Capital Letter M
🄝 Parenthesized Latin Capital Letter N
🄞 Parenthesized Latin Capital Letter O
🄟 Parenthesized Latin Capital Letter P
🄠 Parenthesized Latin Capital Letter Q
🄡 Parenthesized Latin Capital Letter R
🄢 Parenthesized Latin Capital Letter S
🄣 Parenthesized Latin Capital Letter T
🄤 Parenthesized Latin Capital Letter U
🄥 Parenthesized Latin Capital Letter V
🄦 Parenthesized Latin Capital Letter W
🄧 Parenthesized Latin Capital Letter X
🄨 Parenthesized Latin Capital Letter Y
🄩 Parenthesized Latin Capital Letter Z
🄪 Tortoise Shell Bracketed Latin Capital Letter S
🄫 Circled Italic Latin Capital Letter C
🄬 Circled Italic Latin Capital Letter R
🄭 Circled Cd
🄮 Circled Wz
🄯 Copyleft Symbol
🄰 Squared Latin Capital Letter A
🄱 Squared Latin Capital Letter B
🄲 Squared Latin Capital Letter C
🄳 Squared Latin Capital Letter D
🄴 Squared Latin Capital Letter E
🄵 Squared Latin Capital Letter F
🄶 Squared Latin Capital Letter G
🄷 Squared Latin Capital Letter H
🄸 Squared Latin Capital Letter I
🄹 Squared Latin Capital Letter J
🄺 Squared Latin Capital Letter K
🄻 Squared Latin Capital Letter L
🄼 Squared Latin Capital Letter M
🄽 Squared Latin Capital Letter N
🄾 Squared Latin Capital Letter O
🄿 Squared Latin Capital Letter P
🅀 Squared Latin Capital Letter Q
🅁 Squared Latin Capital Letter R
🅂 Squared Latin Capital Letter S
🅃 Squared Latin Capital Letter T
🅄 Squared Latin Capital Letter U
🅅 Squared Latin Capital Letter V
🅆 Squared Latin Capital Letter W
🅇 Squared Latin Capital Letter X
🅈 Squared Latin Capital Letter Y
🅉 Squared Latin Capital Letter Z
🅊 Squared Hv
🅋 Squared Mv
🅌 Squared Sd
🅍 Squared Ss
🅎 Squared Ppv
🅏 Squared Wc
🅐 Negative Circled Latin Capital Letter A
🅑 Negative Circled Latin Capital Letter B
🅒 Negative Circled Latin Capital Letter C
🅓 Negative Circled Latin Capital Letter D
🅔 Negative Circled Latin Capital Letter E
🅕 Negative Circled Latin Capital Letter F
🅖 Negative Circled Latin Capital Letter G
🅗 Negative Circled Latin Capital Letter H
🅘 Negative Circled Latin Capital Letter I
🅙 Negative Circled Latin Capital Letter J
🅚 Negative Circled Latin Capital Letter K
🅛 Negative Circled Latin Capital Letter L
🅜 Negative Circled Latin Capital Letter M
🅝 Negative Circled Latin Capital Letter N
🅞 Negative Circled Latin Capital Letter O
🅟 Negative Circled Latin Capital Letter P
🅠 Negative Circled Latin Capital Letter Q
🅡 Negative Circled Latin Capital Letter R
🅢 Negative Circled Latin Capital Letter S
🅣 Negative Circled Latin Capital Letter T
🅤 Negative Circled Latin Capital Letter U
🅥 Negative Circled Latin Capital Letter V
🅦 Negative Circled Latin Capital Letter W
🅧 Negative Circled Latin Capital Letter X
🅨 Negative Circled Latin Capital Letter Y
🅩 Negative Circled Latin Capital Letter Z
🅪 Raised Mc Sign
🅫 Raised Md Sign
🅬 Raised Mr Sign
🅭 Circled Cc
🅮 Circled C With Overlaid Backslash
🅯 Circled Human Figure
🅰 Negative Squared Latin Capital Letter A
🅱 Negative Squared Latin Capital Letter B
🅲 Negative Squared Latin Capital Letter C
🅳 Negative Squared Latin Capital Letter D
🅴 Negative Squared Latin Capital Letter E
🅵 Negative Squared Latin Capital Letter F
🅶 Negative Squared Latin Capital Letter G
🅷 Negative Squared Latin Capital Letter H
🅸 Negative Squared Latin Capital Letter I
🅹 Negative Squared Latin Capital Letter J
🅺 Negative Squared Latin Capital Letter K
🅻 Negative Squared Latin Capital Letter L
🅼 Negative Squared Latin Capital Letter M
🅽 Negative Squared Latin Capital Letter N
🅾 Negative Squared Latin Capital Letter O
🅿 Negative Squared Latin Capital Letter P
🆀 Negative Squared Latin Capital Letter Q
🆁 Negative Squared Latin Capital Letter R
🆂 Negative Squared Latin Capital Letter S
🆃 Negative Squared Latin Capital Letter T
🆄 Negative Squared Latin Capital Letter U
🆅 Negative Squared Latin Capital Letter V
🆆 Negative Squared Latin Capital Letter W
🆇 Negative Squared Latin Capital Letter X
🆈 Negative Squared Latin Capital Letter Y
🆉 Negative Squared Latin Capital Letter Z
🆊 Crossed Negative Squared Latin Capital Letter P
🆋 Negative Squared Ic
🆌 Negative Squared Pa
🆍 Negative Squared Sa
🆎 Negative Squared Ab
🆏 Negative Squared Wc
🆐 Square Dj
🆑 Squared Cl
🆒 Squared Cool
🆓 Squared Free
🆔 Squared Id
🆕 Squared New
🆖 Squared Ng
🆗 Squared Ok
🆘 Squared Sos
🆙 Squared Up With Exclamation Mark
🆚 Squared Vs
🆛 Squared Three D
🆜 Squared Second Screen
🆝 Squared Two K
🆞 Squared Four K
🆟 Squared Eight K
🆠 Squared Five Point One
🆡 Squared Seven Point One
🆢 Squared Twenty-Two Point Two
🆣 Squared Sixty P
🆤 Squared One Hundred Twenty P
🆥 Squared Latin Small Letter D
🆦 Squared Hc
🆧 Squared Hdr
🆨 Squared Hi-Res
🆩 Squared Lossless
🆪 Squared Shv
🆫 Squared Uhd
🆬 Squared Vod
🆭 Mask Work Symbol
🇦 Regional Indicator Symbol Letter A
🇧 Regional Indicator Symbol Letter B
🇨 Regional Indicator Symbol Letter C
🇩 Regional Indicator Symbol Letter D
🇪 Regional Indicator Symbol Letter E
🇫 Regional Indicator Symbol Letter F
🇬 Regional Indicator Symbol Letter G
🇭 Regional Indicator Symbol Letter H
🇮 Regional Indicator Symbol Letter I
🇯 Regional Indicator Symbol Letter J
🇰 Regional Indicator Symbol Letter K
🇱 Regional Indicator Symbol Letter L
🇲 Regional Indicator Symbol Letter M
🇳 Regional Indicator Symbol Letter N
🇴 Regional Indicator Symbol Letter O
🇵 Regional Indicator Symbol Letter P
🇶 Regional Indicator Symbol Letter Q
🇷 Regional Indicator Symbol Letter R
🇸 Regional Indicator Symbol Letter S
🇹 Regional Indicator Symbol Letter T
🇺 Regional Indicator Symbol Letter U
🇻 Regional Indicator Symbol Letter V
🇼 Regional Indicator Symbol Letter W
🇽 Regional Indicator Symbol Letter X
🇾 Regional Indicator Symbol Letter Y
🇿 Regional Indicator Symbol Letter Z
